	sourcepage	rebuttalpage
2	http://swingmode.com/3-surprising-reasons-to-give-up-soda/	http://en.wikipedia.org/wiki/Aspartame#Safety_controversy
3	http://healthfreedoms.org/2011/10/14/big-study-vaccinated-kids-2-5-more-diseases-than-unvaccinated/	http://bratty-jedi.livejournal.com/222088.html
4	http://www.smh.com.au/opinion/society-and-culture/sisterhood-beware--silencing-ideas-stymies-progress-20120124-1qfnx.html	http://metamagician3000.blogspot.com/2012/01/another-obtuse-article-gets-published.html
5	http://habwwe.wordpress.com/2011/11/12/big-study-vaccinated-kids-2-5-more-diseases-than-unvaccinated/	http://bratty-jedi.livejournal.com/222088.html
6	http://articles.mercola.com/sites/articles/archive/2011/08/13/new-scientific-review-shows-vaccines-and-autism-are-linked.aspx	http://en.wikipedia.org/wiki/MMR_vaccine_controversy
7	http://www.mercola.com/	http://en.wikipedia.org/wiki/Joseph_Mercola
8	http://www.mercola.com/	http://www.quackwatch.com/11Ind/mercola.html
9	http://www.skepticalscience.com/How-Jo-Nova-doesnt-get-the-tropospheric-hot-spot.html	http://joannenova.com.au/2010/06/how-john-cook-unskeptically-believes-in-a-hotspot-that-thermometers-cant-find/
10	http://joannenova.com.au/2010/06/how-john-cook-unskeptically-believes-in-a-hotspot-that-thermometers-cant-find/	http://www.skepticalscience.com/What-causes-the-tropospheric-hot-spot.html
11	http://joannenova.com.au/global-warming/	http://www.skepticalscience.com/A-Scientific-Guide-to-the-Skeptics-Handbook.html
12	http://joannenova.com.au/global-warming/	http://www.skepticalscience.com/How-Jo-Nova-doesnt-get-the-tropospheric-hot-spot.html
13	http://online.wsj.com/news/articles/SB10001424052970204301404577171531838421366	http://www.forbes.com/sites/petergleick/2012/01/27/remarkable-editorial-bias-on-climate-science-at-the-wall-street-journal/
14	http://online.wsj.com/news/articles/SB10001424052970204301404577171531838421366	http://blog.ucsusa.org/dismal-science-at-the-wall-street-journal
15	http://online.wsj.com/news/articles/SB10001424052970204301404577171531838421366	http://www.skepticalscience.com/examining-the-latest-climate-denialist-plea-for-inaction.html
16	http://www.australianclimatemadness.com/2012/01/scientists-no-need-to-panic-about-global-warming/	http://www.skepticalscience.com/examining-the-latest-climate-denialist-plea-for-inaction.html
17	http://www.australianclimatemadness.com/2012/01/scientists-no-need-to-panic-about-global-warming/	http://blog.ucsusa.org/dismal-science-at-the-wall-street-journal
18	http://www.dailymail.co.uk/debate/article-2093852/From-Attenborough-Alain-Botton-faithless-rejecting-shrill-atheism-Dawkins.html	http://metamagician3000.blogspot.com/2012/01/more-rubbish-about-shrill-atheists.html
25	http://www.abc.net.au/religion/articles/2012/01/25/3415283.htm	http://www.abc.net.au/religion/articles/2012/02/03/3422519.htm
26	http://www.abc.net.au/religion/articles/2012/02/03/3422519.htm	http://metamagician3000.blogspot.com/2012/02/cavanaugh-on-blackford.html
27	http://www.foxnews.com/on-air/personalities/bill-oreilly/bio/	http://www.outfoxed.org/oreillylies.php
29	http://joshholland.blogspot.com/2011/11/naomi-wolfs-shocking-truth-about-occupy.html	http://www.guardian.co.uk/commentisfree/cifamerica/2011/dec/02/crackdown-occupy-controversy-rebuttal-naomi-wolf
30	http://www.guardian.co.uk/commentisfree/cifamerica/2011/nov/25/shocking-truth-about-crackdown-occupy	http://joshholland.blogspot.com/2011/11/naomi-wolfs-shocking-truth-about-occupy.html
31	http://blogs.crikey.com.au/this-blog-harms/2011/12/05/alp-downplay-arms-control-considerations/	http://www.lowyinterpreter.org/post/2011/12/12/Uranium-Weve-staged-an-open-debate.aspx
32	http://www.lowyinterpreter.org/post/2011/12/12/Uranium-Weve-staged-an-open-debate.aspx	http://blogs.crikey.com.au/this-blog-harms/2011/12/12/the-lowy-institute-bizarre-rebuttal/
33	http://www.mannkal.org/environment.php	http://www.abc.net.au/unleashed/3807130.html
34	http://www.mannkal.org/environment.php	http://www.abc.net.au/unleashed/2775298.html
36	http://www.hellococky.com.au/search.php?id=1456504	http://www.abc.net.au/austory/content/2011/s3260776.htm
37	http://www.startlocal.com.au/alternative/homeopaths/wa_perth/Francine_Scrayen_1675315.html	http://www.abc.net.au/austory/content/2011/s3260776.htm
38	http://www.yellowpages.com.au/wa/kingsway/francine-scrayen-12594491-listing.html	http://www.abc.net.au/austory/content/2011/s3260776.htm
42	http://online.wsj.com/news/articles/SB10001424052970204301404577171531838421366	http://thinkprogress.org/romm/2012/01/29/413961/panic-attack-murdoch-wall-street-journal-finds-16-scientists-long-debunked-climate-lies/
43	http://online.wsj.com/news/articles/SB10001424052970204301404577171531838421366	http://blogs.discovermagazine.com/badastronomy/2012/01/30/while-temperatures-rise-denialists-reach-lower/
45	http://blogs.discovermagazine.com/badastronomy/2012/01/30/while-temperatures-rise-denialists-reach-lower/	http://wmbriggs.com/blog/?p=5138
46	http://wmbriggs.com/blog/?p=5138	http://www.skepticalscience.com/still-going-down-the-up-escalator.html
47	http://www.bbc.co.uk/news/world-us-canada-14887428	http://www.kirstensanford.com/2011/09/13/about-that-emf/
49	http://www.glazman.org/weblog/dotclear/index.php?post/2012/01/20/iBooks-Author-a-nice-tool-but	http://daringfireball.net/2012/01/ibooks_author_file_format
50	http://daringfireball.net/2012/01/ibooks_author_file_format	http://www.glazman.org/weblog/dotclear/index.php?post/2012/01/21/Ha
51	http://www.glazman.org/weblog/dotclear/index.php?post/2012/01/21/Ha	http://daringfireball.net/linked/2012/01/23/glazman-responds
52	https://itunes.apple.com/us/app/ibooks-author/id490152466?mt=12	http://venomousporridge.com/post/16126436616/ibooks-author-eula-audacity
53	https://itunes.apple.com/us/app/ibooks-author/id490152466?mt=12	http://www.zdnet.com/blog/bott/apples-mind-bogglingly-greedy-and-evil-license-agreement/4360
54	http://daringfireball.net/linked/2012/01/23/glazman-responds	http://www.zdnet.com/blog/bott/some-standards-are-more-open-than-others/4394
55	https://itunes.apple.com/us/app/ibooks-author/id490152466?mt=12	http://www.zdnet.com/blog/bott/apples-lawyers-clean-up-the-sloppy-ibooks-author-eula/4476
56	http://www.zdnet.com/blog/bott/how-apple-is-sabotaging-an-open-standard-for-digital-books/4378	http://daringfireball.net/2012/01/ima_set_it_straight_this_watergate
57	http://daringfireball.net/2012/01/ima_set_it_straight_this_watergate	http://www.zdnet.com/blog/bott/closing-thoughts-on-apples-greedy-crazy-evil-ibooks-license/4414
61	http://en.wikipedia.org/wiki/Aspartame#Safety_controversy	http://www.thenakedscientists.com/HTML/content/latest-questions/question/2651/
62	http://searchenginewatch.com/article/2143653/Google-Fined-in-France-Because-Google-Maps-is-Free	http://searchenginewatch.com/article/2143653/Google-Fined-in-France-Because-Google-Maps-is-Free
64	http://www.abc.net.au/religion/articles/2012/02/03/3422519.htm	http://www.abc.net.au/religion/articles/2012/02/08/3425814.htm
66	http://www.alanaragonblog.com/2010/01/29/the-bitter-truth-about-fructose-alarmism/	http://www.alanaragonblog.com/2010/02/19/a-retrospective-of-the-fructose-alarmism-debate/
67	http://www.scu.edu.au/news/media.php?item_id=3661&action=show_item&type=M	http://www.randi.org/site/index.php/swift-blog/1617-teaching-and-defending-pseudoscience-in-universities.html
68	http://www.justice.gov/dea/	http://www.forbes.com/sites/erikkain/2011/07/05/ten-years-after-decriminalization-drug-abuse-down-by-half-in-portugal/
69	http://www.skincancer.gov.au/	http://www.rense.com/general75/uv.htm
70	http://online.wsj.com/news/articles/SB10001424052970204301404577171531838421366	http://www.globalresearch.ca/index.php?context=va&aid=10783
71	http://www.carbonbrief.org/blog/2011/04/900-papers-supporting-climate-scepticism-exxon-links	http://www.populartechnology.net/2011/05/are-skeptical-scientists-funded-by.html
72	http://fullcomment.nationalpost.com/2010/12/30/lawrence-solomon-75-climate-scientists-think-humans-contribute-to-global-warming/	http://en.wikipedia.org/wiki/Scientific_opinion_on_climate_change
73	https://itunes.apple.com/us/app/ibooks-author/id490152466?mt=12	http://www.glazman.org/weblog/dotclear/index.php?post/2012/01/20/iBooks-Author-a-nice-tool-but
74	http://confront.intel-research.net/Dispute_Finder.html	http://rbutr.com/testClick
75	http://www.friendsofutg.co.uk/	http://www.friendsofutg.co.uk/
76	http://www.justice.gov/dea/	http://www.alternet.org/newsandviews/article/789519/sick%3A_young%2C_undercover_cops_flirted_with_students_to_trick_them_into_selling_pot/
77	http://www.riaa.com/blog.php?content_selector=riaa-news-blog&blog_selector=Foreign-Rogue-Websites-Effectively-Addressed&blog_type=&news_month_filter=2&news_year_filter=2012	http://torrentfreak.com/pirate-bay-the-riaa-is-delusional-and-must-be-stopped-120217/
78	http://www.guardian.co.uk/books/2012/feb/08/making-future-noam-chomsky-review	http://chomsky.info/letters/20120215.htm
79	http://www.riaa.com/blog.php?content_selector=riaa-news-blog&blog_selector=Foreign-Rogue-Websites-Effectively-Addressed&blog_type=&news_month_filter=2&news_year_filter=2012	http://www.gamepolitics.com/2012/02/17/war-words-pirate-bay-vs-riaa
80	http://prezi.com/	http://bartaz.github.com/impress.js/#/bored
81	http://www.bbc.co.uk/news/uk-england-devon-16995239	http://blog.dave.org.uk/2012/02/atheism-humanism-and-secularism.html
82	http://www.dailymail.co.uk/news/article-2099300/Councils-BANNED-saying-prayers-meetings-sparking-fury-Government-church-leaders.html	http://blog.dave.org.uk/2012/02/atheism-humanism-and-secularism.html
83	http://conservativehome.blogs.com/thecolumnists/2012/02/from-nadinedorriesmp-parliament-must-prevent-anti-religious-groups-from-stopping-prayers-before-coun.html	http://blog.dave.org.uk/2012/02/atheism-humanism-and-secularism.html
84	http://www.guardian.co.uk/world/2012/feb/19/religion-secularism-atheism-hutton-dawkins	http://metamagician3000.blogspot.com/2012/02/hutton-and-dawkins-on-secularism-hutton.html
85	http://www.huffingtonpost.com/dana-ullman/homeopathic-medicine-_b_1258607.html	http://www.randi.org/site/index.php/swift-blog/1628-the-swiss-endorse-homeopathy.html
86	http://www.huffingtonpost.com/dana-ullman/homeopathic-medicine-_b_1258607.html	http://www.ncbi.nlm.nih.gov/pubmed/20402610
87	http://www.abc.net.au/religion/articles/2012/02/08/3425814.htm	http://www.abc.net.au/religion/articles/2012/02/13/3429329.htm
88	http://cpd.org.au/2012/01/eva-cox-call-me-whatever-the-hell-you-want/	http://www.abc.net.au/religion/articles/2012/02/21/3435862.htm
